"n" "mu" "sigma" "rep" "id" "mu_hat" "sigma_hat" "error" "errorMessage"
200 2.5 2 410 1 2.23674993754002 1.80710350416174 FALSE ""
600 2.5 2 570 2 2.25216003584621 1.89661194993439 FALSE ""
200 2.5 1.5 555 3 2.73504035002748 1.66021308182702 FALSE ""
600 1.5 1.5 865 4 1.6136850753648 1.68183913688296 FALSE ""
1000 1.5 1.5 321 5 1.53187926744347 1.54269171184952 FALSE ""
1000 2.5 2 984 6 2.52409740219237 2.01947700081201 FALSE ""
1400 1.5 1.5 707 7 1.53513508995062 1.51852860520696 FALSE ""
1000 1.5 2 707 8 1.46960412028787 1.98995213802973 FALSE ""
1400 2.5 2 328 9 2.48206850380823 1.99915672192134 FALSE ""
600 2.5 1.5 317 10 2.47070930745793 1.47972568440078 FALSE ""
1000 1.5 2 982 11 1.44917314916658 2.00296611831616 FALSE ""
1400 1.5 2 953 12 1.52934305097622 2.02745831060208 FALSE ""
200 2.5 1.5 21 13 2.19273697243556 1.38788581026686 FALSE ""
200 2.5 2 215 14 2.37699852938977 2.00002940530079 FALSE ""
1400 1.5 1.5 8 15 1.50112210426104 1.50128159270966 FALSE ""
1000 1.5 2 908 16 1.58091242796614 2.11288823497489 FALSE ""
1000 1.5 2 993 17 1.44323095292605 1.98458853733074 FALSE ""
1000 2.5 1.5 589 18 2.4637087742557 1.56174180833505 FALSE ""
1400 2.5 1.5 773 19 2.47524850118498 1.47427570958359 FALSE ""
200 1.5 2 796 20 1.59545670943771 1.98480871989998 FALSE ""
600 2.5 1.5 260 21 2.26197980039845 1.3872791662021 FALSE ""
600 1.5 2 485 22 1.56061625102383 2.04081074757067 FALSE ""
200 1.5 1.5 733 23 1.34044344000256 1.40615431285757 FALSE ""
1000 1.5 1.5 809 24 1.4815931832932 1.50098059005574 FALSE ""
600 1.5 1.5 386 25 1.48978432179523 1.54671235183331 FALSE ""
1400 1.5 2 792 26 1.4953815429467 2.00496020268677 FALSE ""
1000 2.5 2 615 27 2.51177836350749 2.00746459844156 FALSE ""
200 2.5 1.5 23 28 2.56978666871255 1.54238104928725 FALSE ""
600 1.5 2 100 29 1.65934808301107 2.1692251849731 FALSE ""
600 2.5 2 481 30 2.56976450882244 2.13030097754342 FALSE ""
1400 2.5 2 78 31 2.50749371308382 2.01946707614344 FALSE ""
600 2.5 2 831 32 2.45521804746203 1.94038175026991 FALSE ""
200 1.5 2 156 33 1.60207848224936 2.23395502471024 FALSE ""
1000 2.5 1.5 532 34 2.75297821397561 1.60599299659876 FALSE ""
1000 2.5 2 474 35 2.52286088000424 2.00632359395181 FALSE ""
600 1.5 1.5 357 36 1.56967618082798 1.63992301209284 FALSE ""
600 2.5 2 482 37 2.37963611783866 1.97022716507191 FALSE ""
1400 1.5 2 238 38 1.57859335381746 2.11696928782659 FALSE ""
600 2.5 2 458 39 2.6527450071305 2.10420587784946 FALSE ""
1400 2.5 1.5 145 40 2.54019658454617 1.50990865125858 FALSE ""
200 2.5 2 542 41 2.82350243038741 2.28702696009905 FALSE ""
1000 1.5 2 888 42 1.50427478631741 2.04705945568959 FALSE ""
1000 1.5 2 424 43 1.28808696954345 1.76883465755224 FALSE ""
600 2.5 2 516 44 2.42194955463993 2.07610571014177 FALSE ""
1400 2.5 1.5 378 45 2.51293227775193 1.53011125330693 FALSE ""
1000 1.5 1.5 925 46 1.51895773602395 1.50233000701918 FALSE ""
1000 1.5 2 268 47 1.53954033682404 2.02947797415809 FALSE ""
200 1.5 1.5 686 48 1.59418496565971 1.50424564733164 FALSE ""
200 1.5 1.5 872 49 1.49773998825883 1.6339527496237 FALSE ""
1400 2.5 2 59 50 2.62657778664634 2.02038429052848 FALSE ""
1000 1.5 2 404 51 1.55352835687953 1.99036945401701 FALSE ""
1400 1.5 2 742 52 1.45724692473395 1.9989925845876 FALSE ""
600 1.5 1.5 717 53 1.37442414896581 1.39431804177034 FALSE ""
1400 2.5 2 789 54 2.48028596481704 1.95837211012331 FALSE ""
600 1.5 2 938 55 1.41018911460952 1.84791603052988 FALSE ""
1400 2.5 1.5 76 56 2.44397801996562 1.50118704626292 FALSE ""
1400 2.5 1.5 23 57 2.54385121287502 1.52488792256565 FALSE ""
1400 2.5 1.5 945 58 2.55802186799269 1.55696734473855 FALSE ""
200 2.5 2 442 59 2.39067371021874 1.93821991775712 FALSE ""
1000 1.5 2 537 60 1.48718782710359 2.0138977089046 FALSE ""
1000 1.5 2 240 61 1.50676040348049 1.9835357793436 FALSE ""
200 2.5 2 430 62 2.70322274385117 2.11291884364771 FALSE ""
200 2.5 2 47 63 2.3034926696779 1.89825527852814 FALSE ""
1000 2.5 2 199 64 2.35020300829688 1.89538573473853 FALSE ""
600 2.5 1.5 195 65 2.86966932159892 1.65354769113332 FALSE ""
600 1.5 2 269 66 1.3821850173959 1.85657877038166 FALSE ""
200 2.5 2 851 67 2.54082317271088 1.82877091901407 FALSE ""
1000 2.5 1.5 376 68 2.4224800542909 1.49037789505406 FALSE ""
600 1.5 1.5 223 69 1.59362063209043 1.59930869712705 FALSE ""
600 1.5 1.5 151 70 1.51534688691265 1.42960179676556 FALSE ""
1000 2.5 1.5 624 71 2.61827494341784 1.56282212094122 FALSE ""
600 2.5 1.5 556 72 2.89886523250944 1.66366814226784 FALSE ""
200 2.5 2 971 73 2.81094963628764 2.24626998243614 FALSE ""
600 2.5 2 10 74 2.38344914276769 1.95118864165062 FALSE ""
200 1.5 1.5 700 75 1.62089145071094 1.51802823067759 FALSE ""
200 1.5 1.5 950 76 1.75159501361448 1.80306123211636 FALSE ""
1400 1.5 1.5 532 77 1.53574399481808 1.50088541498208 FALSE ""
200 1.5 2 300 78 1.60036738874947 2.10891464945882 FALSE ""
600 1.5 2 864 79 1.43498309651149 1.97096179845919 FALSE ""
1400 1.5 2 718 80 1.52633871526799 2.08810190207819 FALSE ""
1000 2.5 2 39 81 2.49199731086457 2.02192813260646 FALSE ""
1000 1.5 2 542 82 1.46105257853401 1.91129362974497 FALSE ""
600 1.5 1.5 12 83 1.43047422013125 1.41017254706395 FALSE ""
1400 2.5 2 974 84 2.47453959534633 1.97908225984707 FALSE ""
200 1.5 2 967 85 1.55562746632316 1.95121520683772 FALSE ""
1000 2.5 1.5 460 86 2.4666232483627 1.4608334883139 FALSE ""
200 2.5 1.5 626 87 2.63940200880832 1.60026657390742 FALSE ""
1000 1.5 1.5 993 88 1.45555014427287 1.50667875777795 FALSE ""
200 2.5 1.5 667 89 2.08310233556252 1.28605293758779 FALSE ""
