"n" "rep" "id" "beta_0_hat" "beta_1_hat" "gamma_0_hat" "gamma_1_hat" "error" "errorMessage"
1400 481 1 -0.0524423460151619 0 -0.693147180559945 0 FALSE ""
1400 209 2 -0.00847572715820955 0 -0.693147180559945 0 FALSE ""
200 285 3 -0.0625436526359308 0 -0.693147180559945 0 FALSE ""
600 85 4 -0.0633515668553216 0 -0.693147180559945 0 FALSE ""
600 220 5 0.0173304015004202 0 -0.693147180559945 0 FALSE ""
1400 15 6 -0.018997284240551 0 -0.693147180559945 0 FALSE ""
600 519 7 -0.0245526773596143 0 -0.693147180559945 0 FALSE ""
200 378 8 -0.0608991895964755 0 -0.693147180559945 0 FALSE ""
200 990 9 -0.0200155351465465 0 -0.693147180559945 0 FALSE ""
600 950 10 -0.0530363948415647 0 -0.693147180559945 0 FALSE ""
1000 487 11 -0.0168821751306015 0 -0.693147180559945 0 FALSE ""
1400 466 12 -0.0548823803472372 0 -0.693147180559945 0 FALSE ""
600 486 13 -0.0782656623976061 0 -0.693147180559945 0 FALSE ""
200 810 14 0.130322361978396 0.295228549224431 -0.239764584027035 0.400497091152743 FALSE ""
1400 556 15 -0.0622745680254806 0 -0.693147180559945 0 FALSE ""
1400 290 16 0.00356176989346482 0 -0.693147180559945 0 FALSE ""
1000 862 17 0.0271118478553852 0 -0.693147180559945 0 FALSE ""
200 20 18 -0.0326704416887946 0 -0.693147180559945 0 FALSE ""
1400 133 19 -0.0323853694472395 0 -0.693147180559945 0 FALSE ""
200 674 20 -0.0897864391848933 0 -0.693147180559945 0 FALSE ""
200 850 21 -0.0695617517946018 0 -0.693147180559945 0 FALSE ""
200 433 22 -0.0399060497669137 0 -0.693147180559945 0 FALSE ""
1400 572 23 -0.026022363450029 0 -0.693147180559945 0 FALSE ""
1400 587 24 0.00578830896392397 0 -0.693147180559945 0 FALSE ""
600 7 25 0.0422099357007284 0 -0.693147180559945 0 FALSE ""
1400 557 26 -0.0198007387581969 0 -0.693147180559945 0 FALSE ""
1400 679 27 -0.0646761367041612 0 -0.693147180559945 0 FALSE ""
1000 811 28 -0.0791709446397461 0 -0.693147180559945 0 FALSE ""
200 305 29 -0.0611416504137919 0 -0.693147180559945 0 FALSE ""
1400 787 30 -0.00462629840089111 0 -0.693147180559945 0 FALSE ""
1000 122 31 -0.0341446182865246 0 -0.693147180559945 0 FALSE ""
600 149 32 -0.0494073537692515 0 -0.693147180559945 0 FALSE ""
1400 547 33 -0.0517424952567263 0 -0.693147180559945 0 FALSE ""
200 271 34 -0.0410554796028407 0 -0.693147180559945 0 FALSE ""
600 500 35 -0.0958417104083213 0 -0.693147180559945 0 FALSE ""
1400 445 36 -0.0150521049352984 0 -0.693147180559945 0 FALSE ""
600 690 37 -0.0671582323529432 0 -0.693147180559945 0 FALSE ""
200 349 38 -0.00257422495837894 0 -0.693147180559945 0 FALSE ""
200 521 39 -0.0712969583015735 0 -0.693147180559945 0 FALSE ""
1000 404 40 -0.0279300805845155 0 -0.693147180559945 0 FALSE ""
1400 278 41 -0.0494276670305268 0 -0.693147180559945 0 FALSE ""
200 972 42 0.0287793729451306 0 -0.693147180559945 0 FALSE ""
1400 107 43 -0.0543597947733255 0 -0.693147180559945 0 FALSE ""
600 628 44 -0.0326654948468483 0 -0.693147180559945 0 FALSE ""
1000 649 45 -0.046342632841889 0 -0.693147180559945 0 FALSE ""
1400 541 46 -0.0560797819926418 0 -0.693147180559945 0 FALSE ""
1400 298 47 -0.0498706895800958 0 -0.693147180559945 0 FALSE ""
1400 149 48 -0.0874922221541998 0 -0.693147180559945 0 FALSE ""
1400 373 49 -0.0522115677869007 0 -0.693147180559945 0 FALSE ""
1400 227 50 -0.075651088838802 0 -0.693147180559945 0 FALSE ""
1400 822 51 -0.00782487648392678 0 -0.693147180559945 0 FALSE ""
1000 886 52 -0.0604824110763676 0 -0.693147180559945 0 FALSE ""
1400 529 53 -0.0182402113240344 0 -0.693147180559945 0 FALSE ""
200 834 54 0.0469317889228909 0 -0.693147180559945 0 FALSE ""
200 644 55 0.00488511090820821 0 -0.693147180559945 0 FALSE ""
600 166 56 -0.0292325331381566 0 -0.693147180559945 0 FALSE ""
1000 171 57 -0.0687106650722203 0 -0.693147180559945 0 FALSE ""
200 168 58 -0.0660945061674504 0 -0.693147180559945 0 FALSE ""
1400 694 59 -0.00157067229640065 0 -0.693147180559945 0 FALSE ""
600 725 60 -0.0528707081280142 0 -0.693147180559945 0 FALSE ""
1400 208 61 -0.0466676955073699 0 -0.693147180559945 0 FALSE ""
200 581 62 -0.0648421913027294 0 -0.693147180559945 0 FALSE ""
1400 808 63 -0.061778329214564 0 -0.693147180559945 0 FALSE ""
600 556 64 -0.0197294060179865 0 -0.693147180559945 0 FALSE ""
200 953 65 -0.0208323454711598 0 -0.693147180559945 0 FALSE ""
