"n" "mu" "sigma" "rep" "id" "mu_hat" "sigma_hat" "error" "errorMessage"
400 1.15 10 758 1 1.14436055562797 8.99208446380232 FALSE ""
600 0.95 1.5 568 2 0.933811451070789 1.39432306229495 FALSE ""
400 0.95 1.5 19 3 0.951579209212445 1.46281815348434 FALSE ""
800 1.15 1.5 641 4 1.14085893467257 1.44063677296201 FALSE ""
1000 1.5 10 113 5 1.49350673492381 9.93149954226496 FALSE ""
400 0.95 10 147 6 0.948121246480375 9.29344014977389 FALSE ""
400 0.95 10 788 7 0.942971351450231 10.6025389414084 FALSE ""
400 1.5 10 162 8 1.48771069376889 9.67353831842397 FALSE ""
400 0.95 10 441 9 0.945412255101146 9.08964443693069 FALSE ""
600 1.15 10 827 10 1.14487753824215 9.90306370875081 FALSE ""
800 1.5 10 683 11 1.49677939799589 10.7730329467149 FALSE ""
600 0.95 1.5 78 12 0.960037825581141 1.4800818314196 FALSE ""
800 0.95 1.5 150 13 0.939427058140556 1.40798707630235 FALSE ""
800 0.95 1.5 267 14 0.937990246324353 1.51765923353595 FALSE ""
400 1.15 10 534 15 1.14007122114957 10.0525120194069 FALSE ""
600 0.95 1.5 304 16 0.947612142783428 1.55332703817887 FALSE ""
400 1.5 1.5 324 17 1.51720944477885 1.53619438268822 FALSE ""
800 0.95 10 209 18 0.952315252383204 11.047697889195 FALSE ""
1000 1.5 1.5 810 19 1.52914461701145 1.48361048134859 FALSE ""
600 1.15 10 873 20 1.13868494037852 10.522361718008 FALSE ""
1000 0.95 10 795 21 0.955650068239464 10.1596184210496 FALSE ""
800 1.15 1.5 467 22 1.13622430867559 1.51280380449995 FALSE ""
200 1.15 10 351 23 1.16699839781342 10.9367228353238 FALSE ""
1000 1.5 1.5 912 24 1.50745686059729 1.63127058775885 FALSE ""
600 1.15 1.5 759 25 1.14978646797429 1.51165192232689 FALSE ""
200 0.95 1.5 664 26 0.938575029103351 1.40088722614927 FALSE ""
600 0.95 10 324 27 0.946868827591255 9.439609491267 FALSE ""
200 1.15 1.5 886 28 1.14129354569204 1.46313166912278 FALSE ""
1000 1.15 10 201 29 1.14790200039882 10.1585378923007 FALSE ""
800 0.95 1.5 9 30 0.953962664914896 1.46697252039151 FALSE ""
400 0.95 10 896 31 0.955524887081813 10.0059222950854 FALSE ""
800 1.5 10 840 32 1.50325490700237 9.97610169014367 FALSE ""
600 1.15 10 145 33 1.15308597518647 10.0470214048603 FALSE ""
800 1.5 1.5 214 34 1.51384238345545 1.53041733277686 FALSE ""
800 1.5 1.5 667 35 1.510551952136 1.59270806453435 FALSE ""
800 1.15 10 70 36 1.15224922813285 10.3969117391101 FALSE ""
600 0.95 10 682 37 0.955588620085066 9.86561576836357 FALSE ""
1000 0.95 1.5 3 38 0.953653358777499 1.53134771305413 FALSE ""
800 0.95 1.5 588 39 0.958874084692938 1.63111250430691 FALSE ""
1000 1.5 10 655 40 1.49648904083548 9.90109672148667 FALSE ""
600 1.5 1.5 25 41 1.46868003015221 1.42030291298926 FALSE ""
800 1.15 1.5 632 42 1.14379987128445 1.44137000302683 FALSE ""
600 1.15 1.5 437 43 1.16997058266541 1.62298876852565 FALSE ""
400 1.15 1.5 223 44 1.10868667789561 1.41226774549596 FALSE ""
400 0.95 10 312 45 0.945093953556875 9.40324538381941 FALSE ""
200 1.5 10 49 46 1.51919006254572 10.9050945054196 FALSE ""
600 1.5 1.5 399 47 1.48342892971581 1.37512993528918 FALSE ""
800 1.15 1.5 33 48 1.16384484460773 1.54931920030095 FALSE ""
800 0.95 1.5 615 49 0.942097007689032 1.50506387463391 FALSE ""
600 1.5 1.5 655 50 1.48354809621125 1.44844750427435 FALSE ""
800 1.5 1.5 469 51 1.47751351042843 1.61579509034736 FALSE ""
400 1.5 1.5 209 52 1.53200704674321 1.40916951698962 FALSE ""
200 0.95 10 575 53 0.943595296893903 10.9995926139454 FALSE ""
1000 1.15 1.5 952 54 1.1552611080154 1.56728168367307 FALSE ""
400 1.5 10 340 55 1.5087824417226 9.81044999901705 FALSE ""
1000 0.95 10 693 56 0.94491329443354 9.73269757636014 FALSE ""
1000 1.5 10 342 57 1.48586995420665 10.0926638523105 FALSE ""
200 1.5 10 913 58 1.51227638907904 11.1853833368995 FALSE ""
600 1.15 10 190 59 1.14385555506835 9.35516567644462 FALSE ""
1000 0.95 10 401 60 0.950054344413675 10.395276372716 FALSE ""
200 0.95 10 297 61 0.945901261025914 10.9410429492148 FALSE ""
1000 0.95 10 236 62 0.949502900600628 10.5348095369675 FALSE ""
600 0.95 1.5 362 63 0.956911464694161 1.44817480447289 FALSE ""
800 1.5 10 252 64 1.50076424166663 11.1880444371477 FALSE ""
1000 1.5 1.5 464 65 1.4813096895895 1.46604338190273 FALSE ""
1000 0.95 1.5 530 66 0.957002689810583 1.54116853858647 FALSE ""
200 1.5 1.5 477 67 1.55244158640652 1.63458071862426 FALSE ""
1000 1.5 10 829 68 1.50161237155987 10.6497758791936 FALSE ""
200 1.15 10 753 69 1.14795095255557 11.6535856578238 FALSE ""
800 1.5 1.5 154 70 1.5096299861181 1.54694289745122 FALSE ""
400 0.95 10 900 71 0.950628939905249 10.9925632785197 FALSE ""
200 0.95 1.5 374 72 0.951698147655088 1.39517558688644 FALSE ""
800 0.95 1.5 303 73 0.942869147342141 1.43514194848088 FALSE ""
1000 0.95 1.5 892 74 0.941636889046951 1.47853401021995 FALSE ""
400 1.5 10 47 75 1.51084730629518 9.12737133407725 FALSE ""
200 1.5 1.5 813 76 1.55127794258916 1.63406454833352 FALSE ""
600 0.95 10 820 77 0.955006990663387 10.485019592676 FALSE ""
1000 0.95 10 65 78 0.945589828954979 9.59156463830491 FALSE ""
400 1.5 10 352 79 1.51895415516433 11.8874772269133 FALSE ""
200 1.5 1.5 545 80 1.54163999215516 1.49024347556209 FALSE ""
1000 1.15 1.5 545 81 1.14360165845162 1.46218144554257 FALSE ""
400 0.95 1.5 777 82 0.969927905983057 1.50223002423899 FALSE ""
200 1.5 1.5 270 83 1.50725779125093 1.38599240947899 FALSE ""
600 0.95 1.5 548 84 0.937125820006458 1.59353965947109 FALSE ""
600 1.15 10 870 85 1.14771525982059 10.2084282082994 FALSE ""
800 1.5 1.5 454 86 1.4729901653149 1.40341908647576 FALSE ""
800 1.5 1.5 507 87 1.49042468154955 1.41712846684918 FALSE ""
400 1.15 1.5 328 88 1.16947564983562 1.50553049101272 FALSE ""
400 1.15 1.5 529 89 1.14752699859624 1.52746990947439 FALSE ""
1000 0.95 10 25 90 0.953179645097536 9.84369093772468 FALSE ""
200 0.95 10 205 91 0.949678298615911 10.3608700636384 FALSE ""
400 0.95 1.5 182 92 0.960819569609325 1.39984114023303 FALSE ""
400 0.95 10 797 93 0.945633535962195 9.84404941635966 FALSE ""
1000 1.15 1.5 825 94 1.14630137519737 1.56176807296051 FALSE ""
1000 1.15 10 521 95 1.14536335033677 9.9580984164893 FALSE ""
800 0.95 1.5 545 96 0.955746346930501 1.55836513858241 FALSE ""
1000 1.5 10 677 97 1.51242374742631 10.7513042727721 FALSE ""
1000 0.95 10 645 98 0.943818557623079 9.30861186964938 FALSE ""
200 1.5 10 757 99 1.5088722670303 10.0653348538092 FALSE ""
600 1.5 1.5 581 100 1.5578847053343 1.55912551066679 FALSE ""
200 1.5 1.5 971 101 1.48587285560495 1.51642399042195 FALSE ""
400 1.5 10 119 102 1.48659949306691 9.9675736352094 FALSE ""
1000 0.95 10 826 103 0.953294880015998 9.30364220245596 FALSE ""
400 0.95 1.5 274 104 0.9500229093762 1.37468991566928 FALSE ""
600 1.15 10 194 105 1.16039930273218 9.90461728638144 FALSE ""
400 1.5 10 693 106 1.48470115208309 9.67545861587353 FALSE ""
200 1.5 10 402 107 1.48830813874803 10.4854954273033 FALSE ""
400 1.5 1.5 387 108 1.53872390347479 1.55039906037037 FALSE ""
200 1.15 1.5 371 109 1.17601252989239 1.55425276837247 FALSE ""
800 0.95 1.5 368 110 0.962877908778451 1.64875011519242 FALSE ""
800 1.15 10 823 111 1.15124257907468 10.346705348049 FALSE ""
600 0.95 1.5 587 112 0.954504932770744 1.56468807341644 FALSE ""
400 1.15 1.5 472 113 1.16532762107063 1.51535490102986 FALSE ""
600 0.95 10 702 114 0.950161741920698 9.70844729640764 FALSE ""
400 1.15 1.5 164 115 1.11148059070377 1.45573565023997 FALSE ""
1000 1.15 1.5 692 116 1.1574874467564 1.48038834297175 FALSE ""
400 1.5 10 276 117 1.49016921933506 9.47360883867991 FALSE ""
400 1.5 10 896 118 1.47360232917208 9.71123738519666 FALSE ""
400 0.95 1.5 245 119 0.945926575381388 1.56067519740802 FALSE ""
600 1.15 1.5 275 120 1.1375665471679 1.36939304146462 FALSE ""
1000 1.15 10 766 121 1.15681865798281 10.3801097005371 FALSE ""
1000 1.5 1.5 52 122 1.50559974646302 1.63064855132105 FALSE ""
600 1.15 10 614 123 1.14562807276502 10.6426102718031 FALSE ""
200 1.5 1.5 230 124 1.4716375212967 1.40331009286063 FALSE ""
400 0.95 10 881 125 0.943208325190722 10.9775154213492 FALSE ""
600 1.5 1.5 448 126 1.49602777884241 1.36913666841449 FALSE ""
1000 1.5 10 378 127 1.50359927680319 9.8226298896282 FALSE ""
1000 0.95 10 605 128 0.949410943888911 10.6190304872553 FALSE ""
600 0.95 1.5 467 129 0.950760741971712 1.39491785312175 FALSE ""
800 1.15 10 406 130 1.14186733473592 9.56534634078502 FALSE ""
800 1.5 1.5 827 131 1.50766774241582 1.45863013990048 FALSE ""
800 1.15 1.5 808 132 1.1501752326429 1.5192968257367 FALSE ""
400 1.15 1.5 574 133 1.12811411596615 1.51676868512982 FALSE ""
800 0.95 10 170 134 0.953779647734034 10.6133585311109 FALSE ""
1000 1.15 10 952 135 1.15035509889029 10.9002584416785 FALSE ""
800 1.5 10 890 136 1.4990207844206 9.90492508011761 FALSE ""
1000 1.5 10 830 137 1.49735016620859 9.21857449521693 FALSE ""
600 1.15 1.5 731 138 1.13858073496119 1.45634317527208 FALSE ""
1000 1.5 10 675 139 1.50060485886808 9.81732083390319 FALSE ""
1000 1.15 1.5 660 140 1.15732110972137 1.5594705752652 FALSE ""
800 0.95 1.5 226 141 0.926892428026652 1.33851314353151 FALSE ""
